Resource,Proposer,From,Status,Input volunteer,Note
https://m.sohu.com/a/369790544_507881,车界江湖,驰援武汉，汽车企业捐赠名单持续更新，对于捐款，请勿道德绑架,,songyidong,
https://www.cqcb.com/entertainment/2020-02-02/2138883_pc.html,,易烊千玺王一博等200多位明星通过韩红捐款支援武汉,,songyidong,
https://baijiahao.baidu.com/s?id=1657327133673719590&wfr=spider&for=pc,影剧大追踪,武汉最新捐款名单曝光，除明星捐款外，这些网红也让人肃然起敬！,,songyidong,
https://www.toutiao.com/i6788106977928020487/,今日头条,蒙牛集团追加捐赠6.6亿，向白衣天使致敬,,kk,
https://m.weibo.cn/status/4466187007756205?sudaref=shimo.im&display=0&retcode=6102,春风十里不如你,微博,未录入,,
http://ycch.cn/yydt/yyxw/2323.html,金星,N95口罩、KN95口罩、一次性使用医用口罩、医用外科口罩、一次性橡胶检查手套、防护面罩、一次性防护服、一次性手术衣、一次性隔离衣,已录入,一半,
https://mp.weixin.qq.com/s/QIV7s22DHiyuKIzv0qddTQ,春风十里不如你,麻城市新型冠状病毒感染的肺炎防控爱心捐赠情况公布（七）,已录入,一半,
https://mp.weixin.qq.com/s/br8TR5JHZDtIvZcR8GOiXQ,,邵东市人民医院接受社会捐赠公告,已录入,songyidong,文档“HOSPITAL湖南省”的“邵阳市”选项卡中已有此条目全部信息，不知道是谁录入的。（冯家界留言）
https://mp.weixin.qq.com/s?src=11&timestamp=1580637439&ver=2134&signature=6gWt7RCUxvddplyzik3zd*NciRU4PI0iNZdh0npx6*TYLvNObS4XXBbOTDFtFIwvkQu8osbC5aXKQTqaqk2bh8DfGM9UYqcJMlzLSfG5W9ak8vGmOphusJ7cfrPVEsrK&new=1,,兵团医院接受社会爱心捐赠公告,,songyidong,链接已过期
https://mp.weixin.qq.com/s?src=11&timestamp=1580637439&ver=2134&signature=1xYs41d6V7OjpOdzlxEOH3iBsOFTt*IDdy-t*7g68xKGprekOamptaWFZ98yGiCOYKlfU09LvuOhH1bJ05nmNRUs1B5wItzNiCN-qG5Zay2cwOGLO0PsKoq-nkrq78xU&new=1,晋中市第二人民医院,晋中市第二人民医院接受爱心捐赠公告,,songyidong,链接已过期
https://mp.weixin.qq.com/s/BtUF8n6uZR8H3y6u_LIHyA,山西医科大学第一医院,山西医科大学第一医院接受社会捐赠公告,,songyidong,该内容已被发布者删除
https://mp.weixin.qq.com/s/iwEt1YjIjLoS_iPJblTVVw,,支援武汉！捐款继续！HUST北京校友会已募集48万元,,songyidong,
https://mp.weixin.qq.com/s/7ktaoE47AuutDicT57YxDg,,监利县中医院接收爱心捐赠公告,,songyidong,
https://mp.weixin.qq.com/s/nCFSMfTbHNob9hKSSmJXYw,马振寰,杭州每天定量免费发放口罩,,songyidong,
https://m.douban.com/photos/album/1870255104/?dt_dapp=1&dt_platform=wechat_moments&from=timeline&isappinstalled=0,,peter的相册-湖北其他地区【除武汉】急需捐赠医院信息,,songyidong,
https://mp.weixin.qq.com/s/y2oC3ftXGbfHFFe5jM-RDA,,郑州大学五附院接受社会捐赠公告,,songyidong,
https://mp.weixin.qq.com/s/ZSAok5f_oCbu83Cd9VYRIA,,鹤壁市妇幼保健院紧急接受疫情防控物资爱心捐赠公告,,songyidong,
https://mp.weixin.qq.com/s/Qk_PIkVr18efNgXCYD8z0g,石磊、蒋川,人民日报84972.32万元,,songyidong,
https://mp.weixin.qq.com/s/EVupQt0MS3jW-FiVQ0bTXA,刑小宝,驻马店市第一人民医院紧急采购和接受社会爱心捐赠公告,,songyidong,
https://mp.weixin.qq.com/s/EVupQt0MS3jW-FiVQ0bTXA,,公告|南阳市第二人民医院发布公告 接受爱心捐赠,,songyidong,
https://mp.weixin.qq.com/s/60MDSLMwl6q-dpvcOwbi7w,周卫东,商丘市第四人民医院接受社会捐赠的公告,,songyidong,
https://news.html5.qq.com/share/5101389301525825858?url=http%3A%2F%2Fkuaibao.qq.com%2Fs%2F20200201A00FRG00&cardmode=1&dataSrc=96&docId=5101389301525825858&pid=1&queryId=1580542681713&sh_sid=&subjectId=107&zimeitiId=qeh_5101037&ch=060000&qbredirect=&share=true&sc_id=0ETbrkD,湘诗剑,韩红公布武汉疫情捐款名单！致敬！,,songyidong,
https://mbd.baidu.com/newspage/data/landingshare?pageType=1&isBdboxFrom=1&context=%7B%22nid%22%3A%22news_9229019802820793332%22%7D,,广药向武汉同济医院紧急捐赠300万元药物 首批已送达,,songyidong,
https://mp.weixin.qq.com/s/6u0OIWkUY0jxF21aNNaSnw,,中国红十字会总会公布社会捐赠情况：接受资金6.5亿元，物资1.9亿元,,songyidong,
https://mp.weixin.qq.com/s/3-UGSFDPAhGaJ5x6jXKpQg,李冬,广元市第三人民医院接受爱心捐赠公告,,songyidong,
https://mp.weixin.qq.com/s/jL03VNliePwiz8W3aKMLvw,,广元市利州区第二人民医院接受社会捐赠的公告,,songyidong,
http://www.gy072.com/gy072/article.html?id=16709&clicktime=1580640420&enterid=1580640420,,广元市第一人民医院接受社会捐助公告,,songyidong,
https://mp.weixin.qq.com/s/hbmjBy9F7S8XJhiWnjlLGQ,,湘潭市中心医院接受社会爱心支持相关防护物资的公告,,songyidong,
https://mp.weixin.qq.com/s/szRmOUiZk_yUF6R6fyqjEA,,汉川市人民医院接受爱心捐赠公告,,songyidong,
https://mp.weixin.qq.com/s/_369nEXq0YoxXqMxGRemsA,,汉寿县人民医院接受社会爱心捐赠公告,,songyidong,
http://m.sc4h.com/ennews_hospital/2020/9wdLRXaj.html?clicktime=1580642464&enterid=1580642464,,四川省第四人民医院接受社会捐赠公告,,songyidong,
https://mp.weixin.qq.com/s/iqWCYm6yxJ8U1SHtknA0CA,,关于接受社会捐赠的公告,,songyidong,
https://mp.weixin.qq.com/s/kfOyIJqiotGrQD55XovSwQ,,成都市第六人民医院接受社会爱心捐赠公告,,songyidong,
https://mp.weixin.qq.com/s/vyd64iZHKg-0qqpwfMnvIQ,,成都大学附属医院接受社会捐赠公告,,songyidong,
https://www.cd5120.com/news_notes/2020/7axkzzey.html?clicktime=1580642119&enterid=1580642119,,成都市第五人民医院接受社会爱心捐赠公告,,songyidong,
https://mp.weixin.qq.com/s/2vNAz5m5AAurepsDt_p17A,,绵阳市肛肠病医院接受社会捐赠的公告,,songyidong,
https://mp.weixin.qq.com/s/CsOFjyRBACH8qaSXMzbNRQ,,绵阳市中心医院接受社会捐赠的公告,,songyidong,
http://www.ms.gov.cn/info/1025/1079511.htm?clicktime=1580628666&enterid=1580628666,,洪雅县红十字会接收社会捐款的公告,,OASans,
http://httpshttp//ww,,,未录入,,
https://mp.weixin.qq.com/s/OX8LbX9o7mThMTTUeD6DzA,,大关县红十字会关于防控新型冠状病毒感染的肺炎疫情接受社会捐赠的公告,,violin,
